# KD11-B control store, October 1973 drawing set. Bits as printed; NXT is active low.
# NXTADDR is the decoded next microaddress (MPC complemented). ALUCODE/ALUOP decode
# the 5-bit ALU field against the operation table in EK-KD11B-MM-001. SPA is the
# 4-bit scratchpad address ROM-SPA-3..0, which the listing prints as four separate
# non-adjacent single-bit columns (SP3 SP2 SP1 SP0) and is assembled here.
# Symbolic columns decode the fields per kd11b-fieldvalues.tsv. BUT and BRG need the
# printed bits unscrambled first; see kd11b-README.md.
NAM	LOC	NXTADDR	ALUCODE	SPA	BUTNAME	ALUOP	BRGNAME	BLEG	TNSNAME	ALGNAME	SPAMUX	SPFNAME	ABTNAME	FSHNAME	CKONAME	NXT	ALU	CRI	FSH	AUX	PSW	SP1	SP3	DIP	SM0	SP0	SM1	BBT	BAR	BTP	SPF	SP2	CKO	ABT	TNS	ALG	BRG	BUT	WORD40
J2-3	214	206	13	6	NON	BL	HOLD	BREG	DATO	SP	ROM	WRITE	NO	NO	ON	01111001	01011	0	1	1	1	1	0	1	1	0	1	1	1	1	0	1	0	1	01	11	00	1111	0111100101011011110110111101010111001111
J2-4	206	216	01	0	NON	AL	HOLD	BREG	NONE	SP	IRD	READ	NO	NO	OFF	01110001	00001	0	1	1	1	0	0	1	1	0	0	1	1	1	1	0	1	1	11	11	00	1111	0111000100001011100110011110111111001111
J2-5	216	263	01	7	NON	AL	LOAD	BREG	NONE	SP	ROM	READ	NO	NO	OFF	01001100	00001	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	11	11	11	1111	0100110000001011110111111111111111111111
J2-6	263	264	13	0	NON	BL	HOLD	BREG	NONE	SP	IRD	WRITE	NO	NO	OFF	01001011	01011	0	1	1	1	0	0	1	1	0	0	1	1	1	0	0	1	1	11	11	00	1111	0100101101011011100110011100111111001111
J2-7	264	265	01	9	NON	AL	LOAD	BREG	NONE	SP	ROM	READ	NO	NO	OFF	01001010	00001	0	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	11	11	11	1111	0100101000001011101111111110111111111111
J2-8	265	040	13	7	BYTE	BL	HOLD	BREG	NONE	SP	ROM	WRITE	NO	NO	OFF	11011111	01011	0	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	11	11	00	1100	1101111101011011110111111101111111001100
LC-1	042	245	01	9	JMP/JSR	AL	LOAD	BREG	NONE	NULL	ROM	READ	NO	NO	OFF	01011010	00001	0	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	11	10	11	1101	0101101000001011101111111110111110111101
MB-0	154	240	01	0	NON	AL	HOLD	BREG	NONE	SP	ROM	READ	NO	NO	ON	01011111	00001	0	1	1	1	0	0	1	1	0	1	1	1	1	1	0	0	1	11	11	00	1111	0101111100001011100110111110011111001111
MB-1	240	152	37	8	NON	not_A	LOAD	BREG	NONE	SP	ROM	READ	NO	NO	OFF	10010101	11111	1	1	0	1	0	1	1	1	0	1	1	1	1	1	0	1	1	11	11	11	1111	1001010111111110101110111110111111111111
MB-2	152	040	13	0	BYTE	BL	HOLD	SEX	NONE	SP	IRS	WRITE	NO	NO	OFF	11011111	01011	0	1	1	1	0	0	1	0	0	1	1	1	0	0	0	1	1	11	11	00	1100	1101111101011011100100111000111111001100
PF-1	043	245	01	8	JMP/JSR	AL	LOAD	BREG	NONE	NULL	ROM	READ	NO	NO	OFF	01011010	00001	0	1	1	1	0	1	1	1	0	1	1	1	1	1	0	1	1	11	10	11	1101	0101101000001011101110111110111110111101
